DAC,ADC
2,0.005859375
1.9796319008,0.005859375
1.8616558313,1.9907226563
1.7589632273,1.9768066406
1.6767132282,1.8640136719
1.6183812618,1.763671875
1.5856459141,1.6823730469
1.578392148,1.6245117188
1.5948281288,1.5908203125
1.6316982508,1.5849609375
1.6845724583,1.6010742188
1.7481951714,1.6369628906
1.8168627024,1.6889648438
1.8848067522,1.7504882813
1.9465600252,1.8178710938
1.9972814322,1.8852539063
2.0330240726,1.9453125
2.0509335995,1.9943847656
2.0493636131,2.0288085938
2.0279147625,2.0471191406
1.9873912334,2.0463867188
1.9296865463,2.0244140625
1.8576087952,1.9833984375
1.7746608257,1.9291992188
1.6847884655,1.857421875
1.592118144,1.7768554688
1.5006985664,1.6889648438
1.4142613411,1.5959472656
1.3360171318,1.5051269531
1.26849401,1.4172363281
1.2134298086,1.341796875
1.1717181206,1.2729492188
1.1434086561,1.2180175781
1.127763629,1.1748046875
1.1233540773,1.1491699219
1.1281962395,1.1330566406
1.1399145126,1.1279296875
1.1559159756,1.1323242188
1.1735705137,1.1440429688
1.1903808117,1.1594238281
1.204133749,1.177734375
1.2130256891,1.1931152344
1.2157539129,1.2055664063
1.2115727663,1.2143554688
1.2003091574,1.2180175781
1.1823437214,1.2136230469
1.1585566998,1.2026367188
1.1302475929,1.1857910156
1.0990309715,1.1623535156
1.0667194128,1.1345214844
1.035202384,1.1037597656
1.0063239336,1.0715332031
0.9817721248,1.0407714844
0.9629836679,1.0114746094
0.9510691166,0.9873046875
0.946762383,0.9682617188
0.9503961802,0.9572753906
0.9619029164,0.9521484375
0.9808396697,0.9558105469
1.0064356327,0.9682617188
1.0376553535,0.9873046875
1.0732752085,1.0107421875
1.1119650602,1.0422363281
1.15237391,1.0773925781
1.193208456,1.1169433594
1.2333048582,1.1557617188
1.2716883421,1.1982421875
1.3076155186,1.236328125
1.3406015635,1.2758789063
1.3704276085,1.3110351563
1.3971333504,1.3447265625
1.4209914207,1.3747558594
1.4424705505,1.4018554688
1.462187767,1.4245605469
1.4808541536,1.447265625
1.4992189407,1.4677734375
1.5180126429,1.4860839844
1.5378962755,1.5036621094
1.5594166517,1.5234375
1.582972765,1.5439453125
1.608792305,1.5659179688
1.6369208097,1.5886230469
1.6672223806,1.6135253906
1.6993918419,1.6413574219
1.7329776287,1.6728515625
1.7674105167,1.7036132813
1.8020408154,1.7365722656
1.8361765146,1.7717285156
1.8691231012,1.8054199219
1.9002206326,1.8383789063
1.9288787842,1.8713378906
1.9546031952,1.9035644531
1.9770158529,1.9313964844
1.9958680868,1.9577636719
2.0110440254,1.9782714844
2.0225572586,1.9995117188
2.0305395126,2.0141601563
2.0352210999,2.0258789063
2.0369119644,2.0346679688
2.0359735489,2.0397949219
2.0327939987,2.0405273438
2.0277609825,2.0405273438
2.0212373734,2.0368652344
2.0135412216,2.0317382813
2.0049285889,2.0251464844
1.9955830574,2.0185546875
