ADC,DAC
1.8361816406,2.0958719254
1.8435058594,2.0836889744
1.9533691406,2.0640425682
2.0603027344,2.0378777981
2.0434570313,2.0064349174
2.0170898438,1.9711737633
1.9855957031,1.9336832762
1.9519042969,1.8955842257
1.9167480469,1.8584312201
1.8801269531,1.8236166239
1.8442382813,1.7922884226
1.8120117188,1.765281558
1.7849121094,1.7430696487
1.7600097656,1.7257405519
1.7387695313,1.7129956484
1.7248535156,1.7041742802
1.7124023438,1.6983013153
1.7043457031,1.6941535473
1.6999511719,1.6903437376
1.6962890625,1.6854137182
1.6926269531,1.6779333353
1.6882324219,1.6665964127
1.6794433594,1.6503102779
1.6691894531,1.6282713413
1.6516113281,1.6000231504
1.62890625,1.5654919147
1.6010742188,1.5249984264
1.5666503906,1.4792457819
1.5263671875,1.4292818308
1.4772949219,1.3764406443
1.4282226563,1.3222664595
1.3747558594,1.268422246
1.3198242188,1.2165941
1.2678222656,1.168390274
1.2165527344,1.1252471209
1.1689453125,1.0883458853
1.1279296875,1.0585433245
1.08984375,1.0363247395
1.060546875,1.0217781067
1.0393066406,1.0145941973
1.0261230469,1.0140906572
1.0180664063,1.0192593336
1.0173339844,1.0288339853
1.0224609375,1.0413732529
1.0327148438,1.0553547144
1.0444335938,1.0692728758
1.0590820313,1.0817375183
1.072265625,1.0915617943
1.083984375,1.0978387594
1.0935058594,1.1000000238
1.0986328125,1.0978513956
1.1008300781,1.0915857553
1.1000976563,1.0817708969
1.0920410156,1.0693124533
1.0817871094,1.0553964376
1.0686035156,1.0414130688
1.0576171875,1.0288673639
1.0422363281,1.019281745
1.0305175781,1.0140980482
1.0209960938,1.01458323
1.0158691406,1.021746397
1.0166015625,1.0362706184
1.0246582031,1.0584666729
1.0407714844,1.0882472992
1.0620117188,1.1251286268
1.08984375,1.1682548523
1.1264648438,1.2164458036
1.1696777344,1.2682657242
1.2180175781,1.3221062422
1.2685546875,1.3762820959
1.3205566406,1.4291294813
1.3754882813,1.4791040421
1.4267578125,1.5248711109
1.4765625,1.5653811693
1.5212402344,1.599930644
1.5622558594,1.6281974316
1.5952148438,1.6502541304
1.623046875,1.6665561199
1.6450195313,1.6779061556
1.6633300781,1.6853960752
1.6750488281,1.690331459
1.6823730469,1.6941424608
